step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,center_stopped,center_accumulated_waiting_time,center_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.194200960336389,0,0.0,0.9365070900244786,0,0.0
10.0,0,0.0,0.0,9.607646948974349,0,0.0,0.7325172469629663,0,0.0
15.0,0,0.0,0.0,10.521616123008318,0,0.0,0.8218405942739676,0,0.0
20.0,2,7.0,0.5384615384615384,10.055424915506345,2,7.0,0.6627945846708619,2,7.0
25.0,0,0.0,0.0,10.477496303999017,0,6.0,0.7450219883897375,0,6.0
30.0,2,6.0,0.3,10.926241911423507,2,6.0,0.721351757795831,2,6.0
35.0,0,0.0,0.0,10.169018483770197,0,0.0,0.6831522316695179,0,0.0
40.0,1,4.0,0.18181818181818182,10.517871894604937,1,4.0,0.7695376169200259,1,4.0
45.0,1,1.0,0.041666666666666664,10.38614542798513,1,1.0,0.7279445863287399,1,1.0
50.0,3,15.0,0.5769230769230769,10.56151726051259,3,15.0,0.6666862486219631,3,15.0
55.0,1,1.0,0.037037037037037035,10.58023364227868,1,5.0,0.7762219501138198,1,5.0
60.0,2,10.0,0.37037037037037035,10.469321596714478,1,6.0,0.743632220044448,1,6.0
65.0,2,4.0,0.14814814814814814,9.709003006797756,2,4.0,0.6581387497576003,2,4.0
70.0,4,21.0,0.7,10.741020535032797,4,21.0,0.6854549236422018,4,21.0
75.0,2,5.0,0.16666666666666666,10.324937395925076,2,14.0,0.6923094413316307,2,14.0
80.0,2,15.0,0.46875,11.261861885079487,2,15.0,0.7367231632583812,2,15.0
85.0,1,1.0,0.030303030303030304,10.319151342092358,1,1.0,0.6506425833051445,1,1.0
90.0,4,17.0,0.53125,10.280717592964823,3,14.0,0.6404078418244181,3,14.0
95.0,2,2.0,0.0625,10.45510040653139,2,11.0,0.6840930842452303,2,11.0
100.0,1,6.0,0.1935483870967742,10.112929617563298,1,16.0,0.6526584002337025,1,16.0
105.0,6,24.0,0.8,9.45133840789519,4,22.0,0.582656421792906,4,22.0
110.0,1,1.0,0.03225806451612903,9.522858048151992,1,11.0,0.6068297539152582,1,11.0
115.0,6,22.0,0.6875,9.567705384752442,5,27.0,0.569405285112846,5,27.0
120.0,3,5.0,0.15151515151515152,9.07609956653243,3,21.0,0.5178420223148682,3,21.0
125.0,5,22.0,0.6875,8.799598958194,4,33.0,0.4957617369713013,4,33.0
130.0,3,11.0,0.3235294117647059,9.703770054213194,3,42.0,0.5690783070963119,3,42.0
135.0,4,20.0,0.5714285714285714,8.761230541885721,4,50.0,0.4543514596274139,4,50.0
140.0,9,58.0,1.7058823529411764,7.949159338169325,9,85.0,0.33809362709972524,9,85.0
145.0,5,32.0,0.8888888888888888,8.528752709634539,5,65.0,0.44786706816702426,5,65.0
150.0,7,31.0,0.8378378378378378,8.720415003975656,5,65.0,0.44171801155287693,5,65.0
155.0,4,37.0,1.0571428571428572,8.938152350083127,4,64.0,0.45068462394405706,4,64.0
160.0,6,61.0,1.6944444444444444,8.559373111783342,6,62.0,0.388178581019385,6,62.0
